Price,Close,High,Low,Open,Volume
Ticker,ABCD,ABCD,ABCD,ABCD,ABCD
Date,,,,,
2009-12-09,3.6500000953674316,4.0,3.6500000953674316,4.0,3000
2009-12-10,4.090000152587891,15.0,3.694999933242798,4.0,3700
2009-12-11,4.800000190734863,4.909999847412109,4.300000190734863,4.909999847412109,8300
2009-12-14,4.760000228881836,4.760000228881836,4.739999771118164,4.75,4400
2009-12-15,4.510000228881836,4.510000228881836,3.740000009536743,3.7799999713897705,500
2009-12-16,4.75,4.75,3.940000057220459,4.730000019073486,2883
2009-12-17,4.900000095367432,4.900000095367432,3.9700000286102295,4.900000095367432,10273
2009-12-18,6.0,14.800000190734863,4.900000095367432,4.900000095367432,324600
2009-12-21,5.760000228881836,5.989999771118164,5.320000171661377,5.320000171661377,12237
2009-12-22,5.5,5.869999885559082,5.5,5.869999885559082,18200
2009-12-23,4.400000095367432,4.739999771118164,3.950000047683716,4.119999885559082,340100
2009-12-24,4.070000171661377,4.400000095367432,3.809999942779541,4.170000076293945,38233
2009-12-28,3.930000066757202,4.329999923706055,3.6700000762939453,4.139999866485596,176800
2009-12-29,3.8499999046325684,4.0,3.700000047683716,3.859999895095825,66200
2009-12-30,3.799999952316284,3.9700000286102295,3.619999885559082,3.8499999046325684,76154
2009-12-31,3.9200000762939453,4.210000038146973,3.700000047683716,3.8499999046325684,58000
2010-01-04,3.9200000762939453,3.9200000762939453,3.9200000762939453,3.9200000762939453,0
2010-01-05,3.9200000762939453,3.9200000762939453,3.9200000762939453,3.9200000762939453,0
2010-01-06,3.9200000762939453,3.9200000762939453,3.9200000762939453,3.9200000762939453,0
2010-01-07,3.9200000762939453,3.9200000762939453,3.9200000762939453,3.9200000762939453,0
2010-01-08,3.9200000762939453,3.9200000762939453,3.9200000762939453,3.9200000762939453,0
2010-01-11,3.9200000762939453,3.9200000762939453,3.9200000762939453,3.9200000762939453,0
2010-01-12,3.9200000762939453,3.9200000762939453,3.9200000762939453,3.9200000762939453,0
2010-01-13,3.9200000762939453,3.9200000762939453,3.9200000762939453,3.9200000762939453,0
2010-01-14,4.0,4.019999980926514,3.930000066757202,3.9700000286102295,100700
2010-01-15,4.019999980926514,4.050000190734863,3.960099935531616,3.9649999141693115,9706
2010-01-19,4.054999828338623,4.090000152587891,3.9000000953674316,4.010000228881836,44383
2010-01-20,4.03000020980835,4.099999904632568,3.990000009536743,4.010000228881836,18844
2010-01-21,4.049900054931641,4.050000190734863,4.0,4.0,2408
2010-01-22,4.0,4.010000228881836,4.0,4.0,7728
2010-01-25,4.010000228881836,4.050000190734863,4.0,4.010000228881836,4122
